"symbol","cell_line","sample","condition","norm_count"
"RNU1-1","A549","SRR27421766","+",0
"RNU1-1","A549","SRR27421767","+",0
"RNU1-1","A549","SRR29804957","+",1.21671708569046
"RNU1-1","A549","SRR29804958","+",0
"RNU1-1","A549","SRR29816836","+",0
"RNU1-1","A549","SRR29816837","+",20.1400189583771
"RNU1-1","A549","SRR30921975","+",0
"RNU1-1","A549","SRR30921976","+",0
"RNU1-1","A549","SRR32569850","+",1.26968978709073
"RNU1-1","A549","SRR32569851","+",3.22919115013024
"RNU1-1","A549","SRR17260711","−",13663.2368505945
"RNU1-1","A549","SRR17260712","−",12704.1312201609
"RNU1-1","A549","SRR17260713","−",11562.7134042357
"RNU1-1","A549","SRR17260714","−",13879.2208512976
"RNU1-1","A549","SRR27238840","−",14727.3892221334
"RNU1-1","A549","SRR27238841","−",21751.0791047449
"RNU1-1","A549","SRR27238842","−",15783.4060846218
"RNU1-1","A549","SRR31847362","−",2.71156409549918
"RNU1-1","A549","SRR31847363","−",3.30069341311971
"RNU1-1","A549","SRR31847364","−",1.96980036765757
"RNU1-1","Calu-3","SRR14523763","+",21.7229983757166
"RNU1-1","Calu-3","SRR14523764","+",6.88376786922424
"RNU1-1","Calu-3","SRR14523765","+",24.5070767863208
"RNU1-1","Calu-3","SRR25454032","+",432.400017497586
"RNU1-1","Calu-3","SRR25454033","+",126.998352177673
"RNU1-1","Calu-3","SRR25454034","+",134.054999967402
"RNU1-1","Calu-3","SRR25454037","+",143.17484894625
"RNU1-1","Calu-3","SRR26176182","+",4.29469125968896
"RNU1-1","Calu-3","SRR26176183","+",1.49325518671728
"RNU1-1","Calu-3","SRR26176184","+",20.0591867819563
"RNU1-1","Calu-3","SRR11550037","−",10633.2465973351
"RNU1-1","Calu-3","SRR11550038","−",15334.4295509344
"RNU1-1","Calu-3","SRR11550039","−",18719.6818080254
"RNU1-1","Calu-3","SRR11550040","−",22932.4621025248
"RNU1-1","Calu-3","SRR14523760","−",12.9484069283966
"RNU1-1","Calu-3","SRR14523761","−",5.78023939761394
"RNU1-1","Calu-3","SRR14523762","−",16.8807904277724
"RNU1-1","Calu-3","SRR25454023","−",462.542559812379
"RNU1-1","Calu-3","SRR25454024","−",100.774562281658
"RNU1-1","Calu-3","SRR25454025","−",113.428013879761
"RNU1-1","HepG2","SRR26288229","+",2.96521523268711
"RNU1-1","HepG2","SRR26288230","+",1.4011729743154
"RNU1-1","HepG2","SRR26298244","+",2.88187754201512
"RNU1-1","HepG2","SRR26298245","+",6.29417882711685
"RNU1-1","HepG2","SRR26298418","+",4.15362617298775
"RNU1-1","HepG2","SRR26298419","+",1.62272014139278
"RNU1-1","HepG2","SRR26298490","+",1.90333605026514
"RNU1-1","HepG2","SRR26298491","+",1.64514371041428
"RNU1-1","HepG2","SRR30861746","+",9.40491425555708
"RNU1-1","HepG2","SRR30861747","+",10.3665630568909
"RNU1-1","HepG2","SRR23957918","−",0.798673682808404
"RNU1-1","HepG2","SRR23957919","−",3.12507114091992
"RNU1-1","HepG2","SRR25385848","−",1562.25698488406
"RNU1-1","HepG2","SRR25385849","−",2307.51248635015
"RNU1-1","HepG2","SRR26288218","−",10.0154059479269
"RNU1-1","HepG2","SRR26288224","−",3.33133048846785
"RNU1-1","HepG2","SRR30861740","−",187.116709449601
"RNU1-1","HepG2","SRR30861741","−",247.784342062863
"RNU1-1","HepG2","SRR32886967","−",31.3723201689327
"RNU1-1","HepG2","SRR32886968","−",49.0838950031317
"RNU2-1","A549","SRR27421766","+",1.15564699337506
"RNU2-1","A549","SRR27421767","+",0
"RNU2-1","A549","SRR29804957","+",12.1671708569046
"RNU2-1","A549","SRR29804958","+",5.23904878107071
"RNU2-1","A549","SRR29816836","+",9.2795856742072
"RNU2-1","A549","SRR29816837","+",18.7014461756359
"RNU2-1","A549","SRR30921975","+",18.5050047106357
"RNU2-1","A549","SRR30921976","+",15.8879667656189
"RNU2-1","A549","SRR32569850","+",11.4272080838165
"RNU2-1","A549","SRR32569851","+",14.5313601755861
"RNU2-1","A549","SRR17260711","−",4459.13442231993
"RNU2-1","A549","SRR17260712","−",4840.3304823807
"RNU2-1","A549","SRR17260713","−",4667.12035295265
"RNU2-1","A549","SRR17260714","−",5139.77500568393
"RNU2-1","A549","SRR27238840","−",11926.7020845966
"RNU2-1","A549","SRR27238841","−",14719.5727754755
"RNU2-1","A549","SRR27238842","−",21567.6927504619
"RNU2-1","A549","SRR31847362","−",10.1683653581219
"RNU2-1","A549","SRR31847363","−",9.2419415567352
"RNU2-1","A549","SRR31847364","−",4.59620085786766
"RNU2-1","Calu-3","SRR14523763","+",8.80662096312837
"RNU2-1","Calu-3","SRR14523764","+",10.8992991262717
"RNU2-1","Calu-3","SRR14523765","+",13.4788922324765
"RNU2-1","Calu-3","SRR25454032","+",78.618184999561
"RNU2-1","Calu-3","SRR25454033","+",19.6389204398464
"RNU2-1","Calu-3","SRR25454034","+",26.2118715020059
"RNU2-1","Calu-3","SRR25454037","+",53.575104766984
"RNU2-1","Calu-3","SRR26176182","+",5.15362951162675
"RNU2-1","Calu-3","SRR26176183","+",3.73313796679321
"RNU2-1","Calu-3","SRR26176184","+",8.72138555737231
"RNU2-1","Calu-3","SRR11550037","−",3149.27564775264
"RNU2-1","Calu-3","SRR11550038","−",6524.3946269803
"RNU2-1","Calu-3","SRR11550039","−",8863.39397378693
"RNU2-1","Calu-3","SRR11550040","−",9012.94764267475
"RNU2-1","Calu-3","SRR14523760","−",3.37784528566868
"RNU2-1","Calu-3","SRR14523761","−",8.40762094198391
"RNU2-1","Calu-3","SRR14523762","−",10.7849494399657
"RNU2-1","Calu-3","SRR25454023","−",76.9217386121243
"RNU2-1","Calu-3","SRR25454024","−",25.8624982846733
"RNU2-1","Calu-3","SRR25454025","−",22.3032611561329
"RNU2-1","HepG2","SRR26288229","+",8.89564569806132
"RNU2-1","HepG2","SRR26288230","+",7.70645135873469
"RNU2-1","HepG2","SRR26298244","+",9.36610201154913
"RNU2-1","HepG2","SRR26298245","+",0
"RNU2-1","HepG2","SRR26298418","+",5.53816823065033
"RNU2-1","HepG2","SRR26298419","+",0.811360070696392
"RNU2-1","HepG2","SRR26298490","+",1.90333605026514
"RNU2-1","HepG2","SRR26298491","+",7.40314669686426
"RNU2-1","HepG2","SRR30861746","+",21.9447999296332
"RNU2-1","HepG2","SRR30861747","+",5.18328152844544
"RNU2-1","HepG2","SRR23957918","−",4.79204209685042
"RNU2-1","HepG2","SRR23957919","−",13.2815523489097
"RNU2-1","HepG2","SRR25385848","−",1811.37993180298
"RNU2-1","HepG2","SRR25385849","−",1968.01639640438
"RNU2-1","HepG2","SRR26288218","−",9.10491449811533
"RNU2-1","HepG2","SRR26288224","−",4.16416311058481
"RNU2-1","HepG2","SRR30861740","−",140.337532087201
"RNU2-1","HepG2","SRR30861741","−",109.02511050766
"RNU2-1","HepG2","SRR32886967","−",14.0473075383281
"RNU2-1","HepG2","SRR32886968","−",13.3865168190359
"RNU4-1","A549","SRR27421766","+",0
"RNU4-1","A549","SRR27421767","+",0
"RNU4-1","A549","SRR29804957","+",0
"RNU4-1","A549","SRR29804958","+",0
"RNU4-1","A549","SRR29816836","+",0
"RNU4-1","A549","SRR29816837","+",0
"RNU4-1","A549","SRR30921975","+",0
"RNU4-1","A549","SRR30921976","+",0
"RNU4-1","A549","SRR32569850","+",0
"RNU4-1","A549","SRR32569851","+",0
"RNU4-1","A549","SRR17260711","−",135.085734731483
"RNU4-1","A549","SRR17260712","−",221.319874744402
"RNU4-1","A549","SRR17260713","−",236.96196052519
"RNU4-1","A549","SRR17260714","−",264.570967022023
"RNU4-1","A549","SRR27238840","−",177.899844642833
"RNU4-1","A549","SRR27238841","−",241.159581413263
"RNU4-1","A549","SRR27238842","−",279.296146279251
"RNU4-1","A549","SRR31847362","−",0.677891023874796
"RNU4-1","A549","SRR31847363","−",0
"RNU4-1","A549","SRR31847364","−",0
"RNU4-1","Calu-3","SRR14523763","+",0.587108064208558
"RNU4-1","Calu-3","SRR14523764","+",0.573647322435353
"RNU4-1","Calu-3","SRR14523765","+",0
"RNU4-1","Calu-3","SRR25454032","+",5.17224901312901
"RNU4-1","Calu-3","SRR25454033","+",3.92778408796928
"RNU4-1","Calu-3","SRR25454034","+",2.9956424573721
"RNU4-1","Calu-3","SRR25454037","+",2.7711261086371
"RNU4-1","Calu-3","SRR26176182","+",0
"RNU4-1","Calu-3","SRR26176183","+",0.746627593358642
"RNU4-1","Calu-3","SRR26176184","+",0
"RNU4-1","Calu-3","SRR11550037","−",613.704998023592
"RNU4-1","Calu-3","SRR11550038","−",1383.61502927174
"RNU4-1","Calu-3","SRR11550039","−",1210.84617128237
"RNU4-1","Calu-3","SRR11550040","−",1544.54505369994
"RNU4-1","Calu-3","SRR14523760","−",0
"RNU4-1","Calu-3","SRR14523761","−",0
"RNU4-1","Calu-3","SRR14523762","−",0
"RNU4-1","Calu-3","SRR25454023","−",5.06064069816607
"RNU4-1","Calu-3","SRR25454024","−",1.78362057135678
"RNU4-1","Calu-3","SRR25454025","−",1.27447206606473
"RNU4-1","HepG2","SRR26288229","+",0
"RNU4-1","HepG2","SRR26288230","+",0
"RNU4-1","HepG2","SRR26298244","+",0
"RNU4-1","HepG2","SRR26298245","+",0
"RNU4-1","HepG2","SRR26298418","+",0
"RNU4-1","HepG2","SRR26298419","+",0
"RNU4-1","HepG2","SRR26298490","+",0.634445350088381
"RNU4-1","HepG2","SRR26298491","+",0
"RNU4-1","HepG2","SRR30861746","+",3.13497141851903
"RNU4-1","HepG2","SRR30861747","+",0
"RNU4-1","HepG2","SRR23957918","−",0.798673682808404
"RNU4-1","HepG2","SRR23957919","−",0
"RNU4-1","HepG2","SRR25385848","−",181.603643548371
"RNU4-1","HepG2","SRR25385849","−",265.231320270132
"RNU4-1","HepG2","SRR26288218","−",0.910491449811533
"RNU4-1","HepG2","SRR26288224","−",0
"RNU4-1","HepG2","SRR30861740","−",12.4108021573715
"RNU4-1","HepG2","SRR30861741","−",19.8227473650291
"RNU4-1","HepG2","SRR32886967","−",1.87297433844375
"RNU4-1","HepG2","SRR32886968","−",2.97478151534132
"RNU4-2","A549","SRR27421766","+",0
"RNU4-2","A549","SRR27421767","+",0
"RNU4-2","A549","SRR29804957","+",0
"RNU4-2","A549","SRR29804958","+",0
"RNU4-2","A549","SRR29816836","+",3.97696528894594
"RNU4-2","A549","SRR29816837","+",1.43857278274122
"RNU4-2","A549","SRR30921975","+",0
"RNU4-2","A549","SRR30921976","+",0
"RNU4-2","A549","SRR32569850","+",0
"RNU4-2","A549","SRR32569851","+",0.807297787532561
"RNU4-2","A549","SRR17260711","−",228.40583167159
"RNU4-2","A549","SRR17260712","−",355.593438919876
"RNU4-2","A549","SRR17260713","−",345.140246851907
"RNU4-2","A549","SRR17260714","−",422.668252193719
"RNU4-2","A549","SRR27238840","−",268.085182552046
"RNU4-2","A549","SRR27238841","−",387.622992114511
"RNU4-2","A549","SRR27238842","−",325.316534018446
"RNU4-2","A549","SRR31847362","−",0
"RNU4-2","A549","SRR31847363","−",0
"RNU4-2","A549","SRR31847364","−",0
"RNU4-2","Calu-3","SRR14523763","+",1.76132419262567
"RNU4-2","Calu-3","SRR14523764","+",0.573647322435353
"RNU4-2","Calu-3","SRR14523765","+",0
"RNU4-2","Calu-3","SRR25454032","+",12.4133976315096
"RNU4-2","Calu-3","SRR25454033","+",0.654630681328214
"RNU4-2","Calu-3","SRR25454034","+",3.74455307171513
"RNU4-2","Calu-3","SRR25454037","+",2.7711261086371
"RNU4-2","Calu-3","SRR26176182","+",1.71787650387558
"RNU4-2","Calu-3","SRR26176183","+",0.746627593358642
"RNU4-2","Calu-3","SRR26176184","+",1.74427711147446
"RNU4-2","Calu-3","SRR11550037","−",1120.8191279694
"RNU4-2","Calu-3","SRR11550038","−",2186.26463188795
"RNU4-2","Calu-3","SRR11550039","−",2276.39080201085
"RNU4-2","Calu-3","SRR11550040","−",2419.16695157822
"RNU4-2","Calu-3","SRR14523760","−",1.68892264283434
"RNU4-2","Calu-3","SRR14523761","−",0.525476308873995
"RNU4-2","Calu-3","SRR14523762","−",1.87564338086361
"RNU4-2","Calu-3","SRR25454023","−",16.1940502341314
"RNU4-2","Calu-3","SRR25454024","−",3.56724114271357
"RNU4-2","Calu-3","SRR25454025","−",7.64683239638841
"RNU4-2","HepG2","SRR26288229","+",0
"RNU4-2","HepG2","SRR26288230","+",0.700586487157699
"RNU4-2","HepG2","SRR26298244","+",0
"RNU4-2","HepG2","SRR26298245","+",0
"RNU4-2","HepG2","SRR26298418","+",0.692271028831291
"RNU4-2","HepG2","SRR26298419","+",0.811360070696392
"RNU4-2","HepG2","SRR26298490","+",0
"RNU4-2","HepG2","SRR26298491","+",0
"RNU4-2","HepG2","SRR30861746","+",3.13497141851903
"RNU4-2","HepG2","SRR30861747","+",5.18328152844544
"RNU4-2","HepG2","SRR23957918","−",0
"RNU4-2","HepG2","SRR23957919","−",0.78126778522998
"RNU4-2","HepG2","SRR25385848","−",130.382103060369
"RNU4-2","HepG2","SRR25385849","−",180.35729778369
"RNU4-2","HepG2","SRR26288218","−",0
"RNU4-2","HepG2","SRR26288224","−",0
"RNU4-2","HepG2","SRR30861740","−",10.5014479793143
"RNU4-2","HepG2","SRR30861741","−",16.5189561375242
"RNU4-2","HepG2","SRR32886967","−",3.74594867688749
"RNU4-2","HepG2","SRR32886968","−",3.47057843456487
"RPPH1","A549","SRR27421766","+",12.7121169271256
"RPPH1","A549","SRR27421767","+",6.92560315861885
"RPPH1","A549","SRR29804957","+",7.30030251414273
"RPPH1","A549","SRR29804958","+",3.14342926864243
"RPPH1","A549","SRR29816836","+",6.62827548157657
"RPPH1","A549","SRR29816837","+",5.75429113096489
"RPPH1","A549","SRR30921975","+",11.9738265774702
"RPPH1","A549","SRR30921976","+",1.13485476897278
"RPPH1","A549","SRR32569850","+",6.34844893545363
"RPPH1","A549","SRR32569851","+",21.7970402633792
"RPPH1","A549","SRR17260711","−",54014.0636617881
"RPPH1","A549","SRR17260712","−",52484.2951501609
"RPPH1","A549","SRR17260713","−",55405.312313667
"RPPH1","A549","SRR17260714","−",57935.6643191437
"RPPH1","A549","SRR27238840","−",91073.6017168401
"RPPH1","A549","SRR27238841","−",96975.1918871499
"RPPH1","A549","SRR27238842","−",86776.9952669789
"RPPH1","A549","SRR31847362","−",8.13469228649755
"RPPH1","A549","SRR31847363","−",11.222357604607
"RPPH1","A549","SRR31847364","−",7.87920147063028
"RPPH1","Calu-3","SRR14523763","+",19.961674183091
"RPPH1","Calu-3","SRR14523764","+",12.6202410935778
"RPPH1","Calu-3","SRR14523765","+",15.9295999111086
"RPPH1","Calu-3","SRR25454032","+",133.444024538729
"RPPH1","Calu-3","SRR25454033","+",23.5667045278157
"RPPH1","Calu-3","SRR25454034","+",45.6835474749246
"RPPH1","Calu-3","SRR25454037","+",28.6349697892501
"RPPH1","Calu-3","SRR26176182","+",16.319826786818
"RPPH1","Calu-3","SRR26176183","+",17.1724346472488
"RPPH1","Calu-3","SRR26176184","+",42.7347892311243
"RPPH1","Calu-3","SRR11550037","−",281894.085750068
"RPPH1","Calu-3","SRR11550038","−",372513.502715146
"RPPH1","Calu-3","SRR11550039","−",306338.027103583
"RPPH1","Calu-3","SRR11550040","−",307041.910092744
"RPPH1","Calu-3","SRR14523760","−",9.00758742844981
"RPPH1","Calu-3","SRR14523761","−",10.5095261774799
"RPPH1","Calu-3","SRR14523762","−",17.3497012729883
"RPPH1","Calu-3","SRR25454023","−",136.637298850484
"RPPH1","Calu-3","SRR25454024","−",33.8887908557789
"RPPH1","Calu-3","SRR25454025","−",29.9500935525213
"RPPH1","HepG2","SRR26288229","+",44.4782284903066
"RPPH1","HepG2","SRR26288230","+",37.8316703065157
"RPPH1","HepG2","SRR26298244","+",33.8620611186776
"RPPH1","HepG2","SRR26298245","+",22.8163982482986
"RPPH1","HepG2","SRR26298418","+",38.7671776145523
"RPPH1","HepG2","SRR26298419","+",18.661281626017
"RPPH1","HepG2","SRR26298490","+",23.4744779532701
"RPPH1","HepG2","SRR26298491","+",27.1448712218356
"RPPH1","HepG2","SRR30861746","+",25.0797713481522
"RPPH1","HepG2","SRR30861747","+",25.9164076422272
"RPPH1","HepG2","SRR23957918","−",51.9137893825462
"RPPH1","HepG2","SRR23957919","−",116.408899999267
"RPPH1","HepG2","SRR25385848","−",49985.238760769
"RPPH1","HepG2","SRR25385849","−",52979.9562239588
"RPPH1","HepG2","SRR26288218","−",40.972115241519
"RPPH1","HepG2","SRR26288224","−",33.3133048846785
"RPPH1","HepG2","SRR30861740","−",132.700115374972
"RPPH1","HepG2","SRR30861741","−",113.430165477666
"RPPH1","HepG2","SRR32886967","−",58.5304480763671
"RPPH1","HepG2","SRR32886968","−",54.0418641953673
"SNORA74A","A549","SRR27421766","+",0
"SNORA74A","A549","SRR27421767","+",0
"SNORA74A","A549","SRR29804957","+",0
"SNORA74A","A549","SRR29804958","+",0
"SNORA74A","A549","SRR29816836","+",0
"SNORA74A","A549","SRR29816837","+",0
"SNORA74A","A549","SRR30921975","+",0
"SNORA74A","A549","SRR30921976","+",0
"SNORA74A","A549","SRR32569850","+",0
"SNORA74A","A549","SRR32569851","+",0
"SNORA74A","A549","SRR17260711","−",156.621141717662
"SNORA74A","A549","SRR17260712","−",131.495490433912
"SNORA74A","A549","SRR17260713","−",148.358792676641
"SNORA74A","A549","SRR17260714","−",152.719826492387
"SNORA74A","A549","SRR27238840","−",195.195662871997
"SNORA74A","A549","SRR27238841","−",290.40159018351
"SNORA74A","A549","SRR27238842","−",377.684561445805
"SNORA74A","A549","SRR31847362","−",0.677891023874796
"SNORA74A","A549","SRR31847363","−",1.98041604787183
"SNORA74A","A549","SRR31847364","−",0.656600122552523
"SNORA74A","Calu-3","SRR14523763","+",0
"SNORA74A","Calu-3","SRR14523764","+",0.573647322435353
"SNORA74A","Calu-3","SRR14523765","+",0.612676919658021
"SNORA74A","Calu-3","SRR25454032","+",2.06889960525161
"SNORA74A","Calu-3","SRR25454033","+",1.96389204398464
"SNORA74A","Calu-3","SRR25454034","+",1.49782122868605
"SNORA74A","Calu-3","SRR25454037","+",3.69483481151614
"SNORA74A","Calu-3","SRR26176182","+",0
"SNORA74A","Calu-3","SRR26176183","+",0
"SNORA74A","Calu-3","SRR26176184","+",0
"SNORA74A","Calu-3","SRR11550037","−",536.184366694296
"SNORA74A","Calu-3","SRR11550038","−",970.823805069124
"SNORA74A","Calu-3","SRR11550039","−",1604.37117694914
"SNORA74A","Calu-3","SRR11550040","−",1290.22237417505
"SNORA74A","Calu-3","SRR14523760","−",1.12594842855623
"SNORA74A","Calu-3","SRR14523761","−",0.525476308873995
"SNORA74A","Calu-3","SRR14523762","−",1.4067325356477
"SNORA74A","Calu-3","SRR25454023","−",3.03638441889964
"SNORA74A","Calu-3","SRR25454024","−",0
"SNORA74A","Calu-3","SRR25454025","−",1.9117080990971
"SNORA74A","HepG2","SRR26288229","+",0.741303808171777
"SNORA74A","HepG2","SRR26288230","+",0.700586487157699
"SNORA74A","HepG2","SRR26298244","+",0.720469385503779
"SNORA74A","HepG2","SRR26298245","+",0
"SNORA74A","HepG2","SRR26298418","+",0
"SNORA74A","HepG2","SRR26298419","+",0.811360070696392
"SNORA74A","HepG2","SRR26298490","+",1.26889070017676
"SNORA74A","HepG2","SRR26298491","+",0.82257185520714
"SNORA74A","HepG2","SRR30861746","+",0
"SNORA74A","HepG2","SRR30861747","+",5.18328152844544
"SNORA74A","HepG2","SRR23957918","−",0
"SNORA74A","HepG2","SRR23957919","−",0.78126778522998
"SNORA74A","HepG2","SRR25385848","−",30.2672739247285
"SNORA74A","HepG2","SRR25385849","−",34.4800716351171
"SNORA74A","HepG2","SRR26288218","−",3.64196579924613
"SNORA74A","HepG2","SRR26288224","−",2.49849786635089
"SNORA74A","HepG2","SRR30861740","−",0
"SNORA74A","HepG2","SRR30861741","−",1.10126374250161
"SNORA74A","HepG2","SRR32886967","−",0
"SNORA74A","HepG2","SRR32886968","−",0.991593838447106
