Term	Direction	A549_FDR	Calu3_FDR	HepG2_FDR	U937_FDR	Lines_sig
detection of chemical stimulus involved in sensory perception	Down	1.40e-47	3.76e-05			2
detection of chemical stimulus	Down	1.22e-43	3.72e-04			2
detection of stimulus involved in sensory perception	Down	1.71e-43	2.01e-05			2
detection of stimulus	Down	3.35e-43	1.86e-04			2
detection of chemical stimulus involved in sensory perception of smell	Down	2.46e-41	8.83e-03			2
sensory perception of chemical stimulus	Down	3.74e-39	5.39e-04			2
sensory perception of smell	Down	5.37e-35	3.68e-02			2
sensory perception	Down	1.58e-26	3.27e-02			2
nervous system process	Down	4.47e-18		3.23e-02		2
nucleosome assembly	Down	1.79e-14	4.30e-41			2
system process	Down	3.53e-13		1.65e-03		2
nucleosome organization	Down	1.04e-11	1.04e-37			2
protein localization to CENP-A containing chromatin	Down	1.14e-11	6.76e-18			2
negative regulation of megakaryocyte differentiation	Down	1.90e-07	1.25e-11			2
detection of chemical stimulus involved in sensory perception of bitter taste	Down	6.35e-07	1.42e-02			2
response to external stimulus	Up	2.04e-06	1.31e-07			2
defense response	Up	2.04e-06	1.49e-06			2
sensory perception of bitter taste	Down	2.35e-06	1.98e-02			2
detection of chemical stimulus involved in sensory perception of taste	Down	4.13e-06	1.98e-02			2
immune system process	Up	4.17e-06	4.96e-07			2
innate immune response	Up	4.47e-06	3.83e-02			2
response to biotic stimulus	Up	6.55e-06	1.36e-06			2
immune response	Up	6.55e-06	4.90e-06			2
defense response to symbiont	Up	6.55e-06	2.29e-04			2
response to other organism	Up	9.26e-06	1.42e-06			2
response to external biotic stimulus	Up	9.29e-06	1.45e-06			2
antigen processing and presentation	Up	1.90e-05	5.11e-03			2
defense response to other organism	Up	2.28e-05	6.27e-05			2
protein-DNA complex assembly	Down	2.96e-05	2.10e-27			2
positive regulation of gene expression	Up	7.25e-05	2.49e-06			2
antigen processing and presentation of endogenous peptide antigen via MHC class I	Up	8.12e-05	2.38e-02			2
antigen processing and presentation of endogenous peptide antigen	Up	8.12e-05	2.88e-02			2
response to stress	Up	8.25e-05	3.30e-04			2
biological process involved in interspecies interaction between organisms	Up	1.30e-04	3.77e-06			2
protein localization to chromosome, centromeric region	Down	1.63e-04	1.21e-11			2
regulation of megakaryocyte differentiation	Down	1.68e-04	3.20e-08			2
protein localization to chromatin	Down	2.04e-04	5.05e-12			2
protein-DNA complex organization	Down	2.49e-04	5.74e-26			2
antigen processing and presentation of endogenous antigen	Up	3.28e-04	3.71e-02			2
defense response to virus	Up	3.32e-04	1.52e-02			2
antigen processing and presentation of peptide antigen via MHC class Ib	Up	4.00e-04	1.33e-02			2
negative regulation of immune system process	Up	4.00e-04	2.17e-02			2
regulation of peptidase activity	Up	4.36e-04	1.43e-02			2
regulation of immune system process	Up	5.44e-04	1.35e-04			2
response to virus	Up	5.44e-04	2.47e-03			2
positive regulation of multicellular organismal process	Up	6.87e-04	1.89e-08			2
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	Down	7.96e-04	1.59e-03			2
innate immune response in mucosa	Down	9.07e-04	7.20e-06			2
regulation of cytokine production	Up	9.20e-04	1.49e-07			2
cytokine production	Up	1.10e-03	1.66e-07			2
positive regulation of cytokine production	Up	1.10e-03	1.05e-04			2
regulation of cell population proliferation	Up	1.27e-03	8.91e-07			2
antigen processing and presentation via MHC class Ib	Up	1.27e-03	1.91e-02			2
response to interferon-beta	Up	1.33e-03	7.65e-03			2
antigen processing and presentation of endogenous peptide antigen via MHC class Ib	Up	1.40e-03	1.15e-02			2
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	Up	1.40e-03	1.15e-02			2
regulation of response to external stimulus	Up	1.62e-03	7.65e-05			2
regulation of molecular function	Up	1.62e-03	4.15e-02			2
negative regulation of cell population proliferation	Up	1.90e-03	1.66e-03			2
negative regulation of peptidase activity	Up	2.47e-03	2.16e-02			2
response to peptide	Up	3.45e-03	1.75e-08			2
tissue development	Up	3.55e-03	9.46e-07			2
positive regulation of developmental process	Up	4.01e-03	5.12e-07			2
negative regulation of response to external stimulus	Up	4.42e-03	2.57e-03			2
response to cytokine	Up	4.56e-03	1.89e-08			2
regulation of defense response	Up	4.57e-03	2.26e-04			2
positive regulation of cellular process	Up	4.68e-03	1.31e-07			2
response to type I interferon	Up	4.69e-03	2.72e-02			2
megakaryocyte differentiation	Down	4.91e-03	7.20e-06			2
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	Up	6.16e-03	9.94e-03			2
regulation of multicellular organismal process	Up	6.22e-03	3.99e-08			2
regulation of cell migration	Up	6.32e-03	1.09e-04			2
regulation of proteolysis	Up	6.32e-03	8.77e-03			2
regulation of response to cytokine stimulus	Up	6.95e-03	1.60e-02			2
inflammatory response	Up	7.72e-03	1.12e-05			2
regulation of extrinsic apoptotic signaling pathway	Up	7.81e-03	2.56e-03			2
positive regulation of angiogenesis	Up	7.81e-03	8.59e-03			2
regulation of hydrolase activity	Up	7.81e-03	3.63e-02			2
mucosal immune response	Down	8.98e-03	1.53e-04			2
negative regulation of defense response	Up	9.26e-03	3.05e-03			2
positive regulation of vasculature development	Up	1.04e-02	9.27e-03			2
negative regulation of cell-cell adhesion	Up	1.09e-02	1.20e-03			2
cellular response to cytokine stimulus	Up	1.14e-02	3.89e-08			2
locomotion	Up	1.14e-02	1.73e-04			2
regulation of cell motility	Up	1.14e-02	2.83e-04			2
epidermis development	Up	1.14e-02	1.82e-02			2
cell migration	Up	1.37e-02	3.10e-06			2
cellular response to type I interferon	Up	1.42e-02	2.06e-02			2
negative regulation of proteolysis	Up	1.68e-02	3.27e-02			2
regulation of response to stress	Up	1.70e-02	3.83e-02			2
negative regulation of cell adhesion	Up	1.83e-02	5.26e-05			2
regulation of binding	Up	1.92e-02	4.19e-02			2
skin epidermis development	Up	2.03e-02	7.34e-03			2
organ or tissue specific immune response	Down	2.12e-02	2.99e-04			2
positive regulation of immune system process	Up	2.14e-02	4.33e-05			2
response to bacterium	Up	2.16e-02	2.79e-04			2
negative regulation of hydrolase activity	Up	2.17e-02	2.57e-02			2
regulation of cytokine-mediated signaling pathway	Up	2.19e-02	3.33e-02			2
defense response to bacterium	Up	2.29e-02	4.19e-02			2
regulation of protein processing	Up	2.51e-02	4.21e-02			2
skin development	Up	2.56e-02	4.92e-03			2
negative regulation of leukocyte cell-cell adhesion	Up	2.57e-02	8.76e-03			2
regulation of inflammatory response	Up	2.60e-02	2.18e-04			2
flavonoid metabolic process	Down	2.64e-02	4.34e-02			2
positive regulation of cell differentiation	Up	2.71e-02	5.22e-05			2
type I interferon-mediated signaling pathway	Up	3.06e-02	1.96e-02			2
regulation of locomotion	Up	3.31e-02	5.16e-04			2
interferon-mediated signaling pathway	Up	3.31e-02	4.91e-02			2
positive regulation of extrinsic apoptotic signaling pathway	Up	3.36e-02	3.65e-02			2
regulation of leukocyte migration	Up	3.51e-02	4.11e-03			2
positive regulation of inflammatory response	Up	3.51e-02	3.49e-02			2
positive regulation of immune response	Up	3.56e-02	5.84e-03			2
cell population proliferation	Up	3.68e-02	1.41e-06			2
positive regulation of cellular biosynthetic process	Up	3.68e-02	3.68e-05			2
positive regulation of macromolecule biosynthetic process	Up	3.68e-02	4.07e-05			2
T cell mediated immunity	Up	3.68e-02	8.91e-05			2
regulation of immune response	Up	3.68e-02	1.25e-02			2
regulation of response to biotic stimulus	Up	3.68e-02	3.66e-02			2
regulation of protein metabolic process	Up	3.68e-02	4.58e-02			2
extrinsic apoptotic signaling pathway	Up	4.00e-02	8.19e-04			2
response to lipid	Up	4.18e-02	4.12e-05			2
negative regulation of protein metabolic process	Up	4.32e-02	1.75e-02			2
regulation of angiogenesis	Up	4.41e-02	8.19e-04			2
acute-phase response	Up		2.01e-03		4.70e-02	2
G protein-coupled receptor signaling pathway	Down	1.95e-21				1
homophilic cell adhesion via plasma membrane adhesion molecules	Down	5.20e-08				1
antigen processing and presentation of peptide antigen via MHC class I	Up	8.72e-06				1
antigen processing and presentation of peptide antigen	Up	2.28e-05				1
cell-cell adhesion via plasma-membrane adhesion molecules	Down	3.92e-05				1
negative regulation of viral process	Up	1.10e-04				1
detection of external stimulus	Down	2.69e-04				1
detection of abiotic stimulus	Down	3.08e-04				1
proton motive force-driven mitochondrial ATP synthesis	Up	6.24e-04				1
oxidative phosphorylation	Up	7.11e-04				1
negative regulation of response to biotic stimulus	Up	8.12e-04				1
mitochondrial electron transport, NADH to ubiquinone	Up	8.12e-04				1
detection of light stimulus	Down	8.76e-04				1
proton motive force-driven ATP synthesis	Up	8.76e-04				1
negative regulation of innate immune response	Up	8.76e-04				1
nucleoside triphosphate biosynthetic process	Up	9.09e-04				1
aerobic electron transport chain	Up	1.17e-03				1
negative regulation of viral genome replication	Up	1.33e-03				1
sensory perception of taste	Down	1.41e-03				1
metal ion transport	Down	1.54e-03				1
ATP biosynthetic process	Up	1.90e-03				1
phototransduction	Down	1.94e-03				1
protein maturation	Up	2.64e-03				1
sodium ion transmembrane transport	Down	3.29e-03				1
ATP synthesis coupled electron transport	Up	3.45e-03				1
mitochondrial ATP synthesis coupled electron transport	Up	3.45e-03				1
sodium ion transport	Down	3.78e-03				1
regulation of catalytic activity	Up	4.68e-03				1
ribonucleoside triphosphate biosynthetic process	Up	4.68e-03				1
release of cytochrome c from mitochondria	Up	5.10e-03				1
cardiac muscle cell contraction	Down	6.07e-03				1
purine ribonucleoside triphosphate biosynthetic process	Up	6.32e-03				1
response to type II interferon	Up	6.32e-03				1
purine nucleoside triphosphate biosynthetic process	Up	6.95e-03				1
establishment of skin barrier	Up	6.96e-03				1
apoptotic mitochondrial changes	Up	7.41e-03				1
defense response to bacterium	Down	8.98e-03				1
protein folding	Up	9.80e-03				1
UV protection	Up	1.04e-02				1
regulation of viral process	Up	1.13e-02				1
nucleoside triphosphate metabolic process	Up	1.14e-02				1
mRNA 5'-splice site recognition	Down	1.36e-02				1
cAMP metabolic process	Down	1.37e-02				1
chemokine (C-X-C motif) ligand 2 production	Up	1.68e-02				1
regulation of chemokine (C-X-C motif) ligand 2 production	Up	1.68e-02				1
cellular response to type II interferon	Up	1.68e-02				1
proton transmembrane transport	Up	1.76e-02				1
respiratory electron transport chain	Up	1.83e-02				1
cardiac muscle cell action potential	Down	1.91e-02				1
cardiac muscle cell action potential involved in contraction	Down	2.00e-02				1
regulation of innate immune response	Up	2.04e-02				1
inorganic ion transmembrane transport	Down	2.05e-02				1
aerobic respiration	Up	2.29e-02				1
external encapsulating structure organization	Up	2.29e-02				1
ATP metabolic process	Up	2.46e-02				1
negative regulation of T cell activation	Up	2.46e-02				1
mitotic cell cycle	Up	2.54e-02				1
negative regulation of immune response	Up	2.55e-02				1
negative regulation of molecular function	Up	2.57e-02				1
regulation of viral life cycle	Up	2.60e-02				1
cilium movement	Down	2.70e-02				1
cardiac muscle contraction	Down	2.76e-02				1
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	Down	2.91e-02				1
membrane repolarization	Down	2.91e-02				1
regulatory ncRNA-mediated post-transcriptional gene silencing	Down	3.12e-02				1
transmembrane transport	Down	3.23e-02				1
neurotransmitter reuptake	Down	3.23e-02				1
extracellular matrix organization	Up	3.36e-02				1
extracellular structure organization	Up	3.51e-02				1
positive regulation of T cell mediated cytotoxicity	Up	3.51e-02				1
pyroptotic inflammatory response	Up	3.51e-02				1
detection of visible light	Down	3.55e-02				1
miRNA-mediated post-transcriptional gene silencing	Down	3.55e-02				1
positive regulation of release of cytochrome c from mitochondria	Up	3.56e-02				1
monoatomic ion transport	Down	3.67e-02				1
cell cycle	Up	3.68e-02				1
regulation of release of cytochrome c from mitochondria	Up	3.68e-02				1
chromosome segregation	Up	3.68e-02				1
endothelial cell migration	Up	3.68e-02				1
positive regulation of systemic arterial blood pressure	Up	3.68e-02				1
neutrophil extravasation	Up	3.68e-02				1
regulation of metallopeptidase activity	Up	3.68e-02				1
electron transport chain	Up	3.78e-02				1
inorganic cation transmembrane transport	Down	3.86e-02				1
spliceosomal tri-snRNP complex assembly	Down	3.86e-02				1
action potential	Down	3.86e-02				1
antigen processing and presentation of exogenous antigen	Up	3.90e-02				1
negative regulation of response to cytokine stimulus	Up	4.00e-02				1
purine nucleoside triphosphate metabolic process	Up	4.03e-02				1
nuclear division	Up	4.03e-02				1
negative regulation of type I interferon-mediated signaling pathway	Up	4.18e-02				1
purine ribonucleotide biosynthetic process	Up	4.18e-02				1
protein processing	Up	4.41e-02				1
intracellular receptor signaling pathway	Up	4.63e-02				1
intermediate filament organization	Up	4.63e-02				1
regulation of type I interferon-mediated signaling pathway	Up	4.63e-02				1
regulation of protein maturation	Up	4.63e-02				1
antigen processing and presentation of exogenous peptide antigen	Up	4.97e-02				1
detection of biotic stimulus	Up	4.97e-02				1
chromatin remodeling	Down		1.80e-17			1
chromatin organization	Down		3.93e-15			1
RNA processing	Down		9.07e-15			1
epigenetic regulation of gene expression	Down		2.09e-09			1
telomere organization	Down		1.38e-08			1
response to chemical	Up		1.75e-08			1
animal organ morphogenesis	Up		1.31e-07			1
morphogenesis of an epithelium	Up		1.39e-07			1
cell surface receptor signaling pathway	Up		1.87e-07			1
regulation of response to stimulus	Up		1.87e-07			1
tube development	Up		1.92e-07			1
protein localization to chromosome	Down		2.83e-07			1
signal transduction	Up		2.91e-07			1
negative regulation of biological process	Up		2.91e-07			1
tube morphogenesis	Up		2.91e-07			1
regulation of cell adhesion	Up		3.36e-07			1
regulation of cell communication	Up		4.35e-07			1
anatomical structure formation involved in morphogenesis	Up		5.12e-07			1
positive regulation of response to stimulus	Up		5.12e-07			1
epithelium development	Up		5.12e-07			1
cell differentiation	Up		5.12e-07			1
cellular developmental process	Up		5.12e-07			1
tissue morphogenesis	Up		5.12e-07			1
mesonephros development	Up		5.54e-07			1
cellular response to chemical stimulus	Up		7.35e-07			1
negative regulation of multicellular organismal process	Up		9.31e-07			1
anatomical structure morphogenesis	Up		9.46e-07			1
protein-containing complex assembly	Down		1.23e-06			1
system development	Up		1.41e-06			1
regulation of signaling	Up		1.41e-06			1
negative regulation of cellular process	Up		1.41e-06			1
regulation of signal transduction	Up		1.46e-06			1
multicellular organism development	Up		1.68e-06			1
cell death	Up		1.69e-06			1
cell adhesion	Up		1.94e-06			1
gland development	Up		1.94e-06			1
tube formation	Up		2.05e-06			1
regulation of anatomical structure morphogenesis	Up		2.08e-06			1
ureteric bud development	Up		2.24e-06			1
mesonephric epithelium development	Up		2.44e-06			1
mesonephric tubule development	Up		2.44e-06			1
kidney epithelium development	Up		2.47e-06			1
anatomical structure development	Up		3.21e-06			1
response to oxygen-containing compound	Up		3.21e-06			1
apoptotic process	Up		3.21e-06			1
programmed cell death	Up		3.21e-06			1
negative regulation of apoptotic process	Up		4.07e-06			1
cell surface receptor protein tyrosine kinase signaling pathway	Up		4.07e-06			1
cytokine-mediated signaling pathway	Up		4.26e-06			1
regulation of developmental process	Up		4.65e-06			1
regulation of programmed cell death	Up		4.93e-06			1
cellular response to oxygen-containing compound	Up		5.14e-06			1
regulation of apoptotic process	Up		6.17e-06			1
renal system development	Up		7.11e-06			1
negative regulation of programmed cell death	Up		8.12e-06			1
leukocyte activation	Up		1.03e-05			1
heterochromatin formation	Down		1.04e-05			1
intracellular signal transduction	Up		1.04e-05			1
regulation of animal organ morphogenesis	Up		1.19e-05			1
enzyme-linked receptor protein signaling pathway	Up		1.24e-05			1
growth	Up		1.24e-05			1
animal organ development	Up		1.29e-05			1
negative regulation of cytokine production	Up		1.58e-05			1
regulation of growth	Up		1.65e-05			1
nephron development	Up		2.05e-05			1
regulation of cell-cell adhesion	Up		2.08e-05			1
cell fate commitment	Up		2.12e-05			1
kidney development	Up		2.12e-05			1
regulation of multicellular organismal development	Up		2.21e-05			1
epithelial tube formation	Up		2.76e-05			1
positive regulation of metabolic process	Up		2.76e-05			1
negative regulation of macromolecule metabolic process	Up		2.81e-05			1
epithelial tube morphogenesis	Up		2.83e-05			1
positive regulation of biosynthetic process	Up		2.89e-05			1
cell-cell adhesion	Up		3.09e-05			1
cell motility	Up		3.17e-05			1
chromosome organization	Down		3.76e-05			1
positive regulation of cell communication	Up		3.78e-05			1
protein-containing complex organization	Down		4.04e-05			1
positive regulation of signaling	Up		4.12e-05			1
circulatory system development	Up		4.16e-05			1
epithelial cell proliferation	Up		4.29e-05			1
positive regulation of cell population proliferation	Up		4.33e-05			1
embryonic morphogenesis	Up		4.66e-05			1
positive regulation of type 2 immune response	Up		5.24e-05			1
ureter development	Up		5.24e-05			1
fat cell differentiation	Up		5.24e-05			1
embryo development ending in birth or egg hatching	Up		5.26e-05			1
response to endogenous stimulus	Up		5.26e-05			1
negative regulation of macromolecule biosynthetic process	Up		5.47e-05			1
positive regulation of cellular metabolic process	Up		5.69e-05			1
positive regulation of animal organ morphogenesis	Up		5.86e-05			1
vasculature development	Up		5.91e-05			1
nephron epithelium development	Up		5.93e-05			1
regulation of cell differentiation	Up		6.62e-05			1
negative regulation of cellular metabolic process	Up		6.84e-05			1
positive regulation of signal transduction	Up		7.42e-05			1
negative regulation of cell communication	Up		7.42e-05			1
negative regulation of metabolic process	Up		7.42e-05			1
positive regulation of cell development	Up		7.42e-05			1
negative regulation of signaling	Up		7.53e-05			1
negative regulation of gene expression, epigenetic	Down		8.09e-05			1
negative regulation of cellular biosynthetic process	Up		8.37e-05			1
blood vessel development	Up		8.37e-05			1
regulation of T cell mediated immunity	Up		8.47e-05			1
nervous system development	Up		8.47e-05			1
cellular response to lipid	Up		9.27e-05			1
odontogenesis	Up		9.54e-05			1
T cell cytokine production	Up		9.62e-05			1
regulation of T cell cytokine production	Up		9.62e-05			1
gland morphogenesis	Up		1.01e-04			1
negative regulation of biosynthetic process	Up		1.07e-04			1
regulation of kidney development	Up		1.14e-04			1
cell activation	Up		1.18e-04			1
negative regulation of myeloid cell differentiation	Down		1.73e-04			1
epithelial cell differentiation	Up		1.81e-04			1
negative regulation of response to stimulus	Up		1.83e-04			1
type 2 immune response	Up		1.92e-04			1
positive regulation of interleukin-5 production	Up		2.02e-04			1
cellular response to endogenous stimulus	Up		2.05e-04			1
negative regulation of signal transduction	Up		2.23e-04			1
negative regulation of DNA-templated transcription	Up		2.39e-04			1
positive regulation of cell adhesion	Up		2.39e-04			1
chordate embryonic development	Up		2.42e-04			1
regulation of leukocyte activation	Up		2.65e-04			1
intracellular signaling cassette	Up		2.73e-04			1
morphogenesis of embryonic epithelium	Up		2.73e-04			1
regulation of adaptive immune response	Up		2.79e-04			1
negative regulation of RNA biosynthetic process	Up		2.91e-04			1
regulation of cell activation	Up		2.91e-04			1
stem cell differentiation	Up		3.24e-04			1
camera-type eye development	Up		3.26e-04			1
mesonephric tubule morphogenesis	Up		3.45e-04			1
apoptotic signaling pathway	Up		3.47e-04			1
embryonic epithelial tube formation	Up		3.47e-04			1
regulation of production of molecular mediator of immune response	Up		3.47e-04			1
chromosome condensation	Down		3.72e-04			1
positive regulation of DNA-templated transcription	Up		3.77e-04			1
positive regulation of cell migration	Up		3.79e-04			1
morphogenesis of a branching epithelium	Up		3.83e-04			1
positive regulation of macromolecule metabolic process	Up		3.85e-04			1
positive regulation of RNA biosynthetic process	Up		3.86e-04			1
type B pancreatic cell proliferation	Up		4.05e-04			1
lymphocyte activation	Up		4.26e-04			1
embryo development	Up		4.26e-04			1
response to hormone	Up		4.29e-04			1
ossification	Up		4.29e-04			1
positive regulation of RNA metabolic process	Up		4.69e-04			1
liver morphogenesis	Up		4.84e-04			1
regulation of developmental growth	Up		4.84e-04			1
negative regulation of developmental process	Up		5.13e-04			1
interleukin-5 production	Up		5.20e-04			1
regulation of interleukin-5 production	Up		5.20e-04			1
renal tubule development	Up		5.45e-04			1
response to nitrogen compound	Up		5.57e-04			1
negative regulation of RNA metabolic process	Up		5.57e-04			1
regulation of type 2 immune response	Up		5.64e-04			1
positive regulation of T cell mediated immunity	Up		5.79e-04			1
nephron tubule morphogenesis	Up		5.79e-04			1
cellular response to biotic stimulus	Up		5.80e-04			1
positive regulation of cell motility	Up		5.80e-04			1
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	Up		5.94e-04			1
positive regulation of production of molecular mediator of immune response	Up		6.26e-04			1
positive regulation of immune effector process	Up		6.58e-04			1
connective tissue development	Up		6.70e-04			1
nephron tubule formation	Up		6.72e-04			1
nephron epithelium morphogenesis	Up		6.83e-04			1
regulation of fat cell differentiation	Up		7.01e-04			1
antimicrobial humoral immune response mediated by antimicrobial peptide	Down		7.14e-04			1
renal tubule morphogenesis	Up		7.45e-04			1
cellular response to molecule of bacterial origin	Up		7.45e-04			1
positive regulation of locomotion	Up		7.69e-04			1
morphogenesis of a branching structure	Up		7.77e-04			1
positive regulation of adaptive immune response	Up		7.84e-04			1
regulation of immune effector process	Up		7.92e-04			1
nephron morphogenesis	Up		8.00e-04			1
mononuclear cell differentiation	Up		8.48e-04			1
developmental growth	Up		8.48e-04			1
response to retinoic acid	Up		8.48e-04			1
positive regulation of transcription by RNA polymerase II	Up		8.53e-04			1
regulation of macromolecule biosynthetic process	Up		8.54e-04			1
epidermis morphogenesis	Up		8.63e-04			1
homeostatic process	Up		8.69e-04			1
metanephros development	Up		9.13e-04			1
outflow tract morphogenesis	Up		9.13e-04			1
regulation of cellular biosynthetic process	Up		9.13e-04			1
regulation of biosynthetic process	Up		9.13e-04			1
regulation of vasculature development	Up		9.13e-04			1
leukocyte differentiation	Up		9.20e-04			1
cellular response to fibroblast growth factor stimulus	Up		9.41e-04			1
cell-cell adhesion via plasma-membrane adhesion molecules	Up		9.60e-04			1
regulation of biological quality	Up		9.67e-04			1
canonical NF-kappaB signal transduction	Up		9.69e-04			1
